date,open,high,low,close,volume
2021-01-04,33000,33050,32200,32850,155830
2021-01-05,32600,35800,32450,35250,677074
2021-01-06,36100,36650,35150,36000,488286
2021-01-07,36650,38600,36300,38200,760065
2021-01-08,38950,40000,37600,38500,599073
2021-01-11,39000,40350,37300,38300,568831
2021-01-12,37500,38050,36050,36700,307791
2021-01-13,37000,37750,36600,37200,159052
2021-01-14,37100,37950,36300,37200,249657
2021-01-15,37200,37300,35150,35500,239230
2021-01-18,35500,36300,34550,35000,165246
2021-01-19,35700,37250,35450,37000,195463
2021-01-20,37350,37550,36150,36250,164014
2021-01-21,36600,36800,36000,36400,121802
2021-01-22,36500,36550,35600,36050,138124
2021-01-25,35950,36300,35650,36300,102909
2021-01-26,36350,37750,35700,37750,179884
2021-01-27,37400,37550,36350,36650,168091
2021-01-28,35150,35950,35100,35200,182639
2021-01-29,35700,35900,33600,33900,169375
2021-02-01,33300,35050,33200,35050,97089
2021-02-02,35050,35400,34000,34350,180004
2021-02-03,34250,34800,33900,34400,170616
2021-02-04,34900,35250,34350,34600,170360
2021-02-05,35000,35450,34300,35100,140605
2021-02-08,35600,35700,34550,34650,145091
2021-02-09,34700,35000,34050,35000,90215
2021-02-10,35050,35150,34300,34900,61398
2021-02-15,34900,35050,34300,34650,80971
2021-02-16,34650,34850,34350,34500,74737
2021-02-17,34500,35050,33950,35050,112571
2021-02-18,34850,36100,34700,35850,192568
2021-02-19,36100,37250,35350,37200,402487
2021-02-22,37650,39650,37550,38650,882949
2021-02-23,38750,39200,37450,38550,349445
2021-02-24,38550,38600,36050,36500,278666
2021-02-25,37300,37550,36400,37200,169356
2021-02-26,36000,38350,35700,37450,250967
2021-03-02,38100,38250,36300,36800,192701
2021-03-03,36800,36950,36150,36850,80372
2021-03-04,36650,37500,36150,36200,126258
2021-03-05,35800,35950,35050,35250,156429
2021-03-08,36050,38400,35650,37400,493366
2021-03-09,37800,40450,37600,40300,1014534
2021-03-10,40450,40950,39000,40000,628828
2021-03-11,40300,48500,40300,46250,3310026
2021-03-12,46100,47500,45400,47350,753665
2021-03-15,47000,49400,46400,48950,597865
2021-03-16,48500,52800,48500,50500,723743
2021-03-17,50600,51000,49600,50900,335768
2021-03-18,50600,51100,48700,49000,382185
2021-03-19,48400,50700,47800,49650,395948
2021-03-22,49100,49900,46500,47600,604070
2021-03-23,47650,50500,46650,48350,614379
2021-03-24,47850,50800,47750,50600,485624
2021-03-25,50300,54200,50000,52200,568611
2021-03-26,52200,52400,50200,50800,559223
2021-03-29,51000,55600,49400,55000,1059718
2021-03-30,56300,57500,53600,54600,713926
2021-03-31,54000,55600,53400,53800,319002
2021-04-01,54500,54600,51200,52100,464190
2021-04-02,52400,52500,50100,51500,367539
2021-04-05,51700,52100,50700,51600,203318
2021-04-06,51700,51900,50500,50600,159107
2021-04-07,50600,52000,50100,51800,241491
2021-04-08,52100,53600,51500,53000,345952
2021-04-09,53600,54400,52100,52500,221419
2021-04-12,53100,53700,52100,53500,227959
2021-04-13,53100,53600,50600,50900,345135
2021-04-14,51500,51500,49400,49950,390701
2021-04-15,50000,50900,49450,49950,168828
2021-04-16,50100,50200,49000,49500,313891
2021-04-19,49600,50500,49000,50300,212245
2021-04-20,50400,50900,49950,50900,156916
2021-04-21,51000,53400,50900,52300,426421
2021-04-22,52600,58500,52600,57100,1592576
2021-04-23,56500,57200,55400,56700,385651
2021-04-26,56100,56700,54700,56100,266138
2021-04-27,55800,58800,55500,57700,506904
2021-04-28,58900,60800,56700,58200,796715
2021-04-29,59300,60300,55200,56400,661225
2021-04-30,55600,56800,53700,55700,362155
2021-05-03,55000,59400,54000,58600,552416
2021-05-04,57900,57900,55500,57100,353391
2021-05-06,57600,64200,57400,62800,1015128
2021-05-07,63100,66500,62500,66100,578337
2021-05-10,66900,67000,64800,66200,408615
2021-05-11,65500,68200,64900,67300,410656
2021-05-12,66500,67300,62900,63600,403321
2021-05-13,61200,62800,59900,60900,448440
2021-05-14,61800,61900,59100,60100,203935
2021-05-17,60200,60200,56500,56600,455837
2021-05-18,56900,59400,56900,58200,351555
2021-05-20,58200,58200,55500,56700,290035
2021-05-21,57700,57800,55100,55200,213537
2021-05-24,55200,57100,54000,55700,211468
2021-05-25,56100,56200,54900,55400,154164
2021-05-26,55700,56100,55000,55300,116712
2021-05-27,55500,58100,55300,57800,303166
2021-05-28,58400,58700,57400,57700,169236
2021-05-31,58100,58200,56500,57800,166834
2021-06-01,57800,58500,57200,57400,103493
2021-06-02,57600,59500,56900,59500,285188
2021-06-03,59900,60000,57900,58100,188603
2021-06-04,57700,58900,57500,58500,165463
2021-06-07,59000,59000,57100,57300,162980
2021-06-08,57600,57600,56400,56600,139404
2021-06-09,56800,56900,55000,55000,181065
2021-06-10,55000,55000,52200,52900,321241
2021-06-11,53300,54200,52700,53400,138833
2021-06-14,53400,54900,53000,53700,210229
2021-06-15,53300,55300,53300,54600,158627
2021-06-16,54500,55400,54400,54800,110937
2021-06-17,54300,56200,54300,56000,155478
2021-06-18,56300,56400,55000,55500,125794
2021-06-21,55000,56300,53800,55800,169810
2021-06-22,56200,57300,56100,56300,162601
2021-06-23,56500,57000,55200,56400,115198
2021-06-24,56300,56900,55400,56800,97083
2021-06-25,58000,59700,57500,57500,370396
2021-06-28,57600,58400,56400,56400,119996
2021-06-29,56100,56400,54900,55000,132011
2021-06-30,55400,55500,54800,55300,92762
2021-07-01,54900,55100,54100,54700,89767
2021-07-02,54600,55500,54200,54500,76501
2021-07-05,54900,55200,54100,54500,56261
2021-07-06,54600,55200,54000,54100,83796
2021-07-07,54000,54500,53500,54300,80145
2021-07-08,53700,54300,53200,53400,70475
2021-07-09,52600,52900,50600,51600,163035
2021-07-12,52500,52900,51900,52600,64010
2021-07-13,52600,54400,52500,53800,117865
2021-07-14,54200,54400,53300,53900,56783
2021-07-15,53500,54300,53500,54100,46155
2021-07-16,54400,54400,53400,53800,42664
2021-07-19,53300,53700,52300,52600,53447
2021-07-20,51100,52500,51100,51800,41375
2021-07-21,52600,53800,51900,53400,101212
2021-07-22,53000,54800,52700,53500,134717
2021-07-23,54900,56400,54400,54900,311333
2021-07-26,55100,57600,53900,56900,282035
2021-07-27,57000,58300,55700,55900,123335
2021-07-28,55600,58700,55100,58500,318443
2021-07-29,58900,59300,57700,58600,182383
2021-07-30,58600,58700,55900,56500,190087
2021-08-02,56700,57000,55000,55200,119225
2021-08-03,55700,55800,54700,55000,76829
2021-08-04,55100,55800,54500,55500,89071
2021-08-05,55500,55700,54800,55000,68168
