date,open,high,low,close,volume
2021-01-04,21284,22021,21013,21440,4355156
2021-01-05,21400,22098,21013,21982,4013283
2021-01-06,21749,22292,21555,21905,4377141
2021-01-07,22021,22176,21711,21866,2909181
2021-01-08,21866,21866,21323,21633,3624498
2021-01-11,21633,24308,21284,22564,18754274
2021-01-12,22680,23223,22137,22835,6659698
2021-01-13,23184,24037,22796,23611,7304343
2021-01-14,23959,25587,23649,25394,11572949
2021-01-15,26053,27448,24541,24929,9721510
2021-01-18,24502,24657,23378,23611,4329133
2021-01-19,23610,24696,23571,24580,3076678
2021-01-20,24890,25045,24153,24851,2921124
2021-01-21,24618,25820,24347,25627,3679028
2021-01-22,25975,27293,25045,27100,11501503
2021-01-25,28200,31800,28100,30350,12392646
2021-01-26,30550,31700,30100,30500,5548593
2021-01-27,30700,31000,29600,30400,2956393
2021-01-28,29500,30200,29400,29650,2247422
2021-01-29,29850,30050,28050,28700,3286551
2021-02-01,28350,29500,27400,29450,2612135
2021-02-02,29700,29900,29100,29650,1581226
2021-02-03,29950,30300,29650,30100,2079003
2021-02-04,30250,30750,30000,30500,2530014
2021-02-05,30500,30550,29550,30000,2312430
2021-02-08,30250,31950,30050,31400,7227875
2021-02-09,31500,31600,30350,30450,3264604
2021-02-10,30550,30650,29950,30500,2032707
2021-02-15,30550,30600,29900,30000,2653699
2021-02-16,29950,30000,29000,29100,5259840
2021-02-17,29050,29100,28200,28550,3080728
2021-02-18,28550,29050,28100,28700,2029506
2021-02-19,28500,28650,28050,28500,1851490
2021-02-22,28650,28800,28150,28200,1960575
2021-02-23,28350,28850,28250,28550,2045518
2021-02-24,28850,29300,28400,28450,2904571
2021-02-25,29000,29100,28550,28850,1595324
2021-02-26,28200,28400,28000,28150,2425167
2021-03-02,28450,28450,27500,27550,2799782
2021-03-03,27550,28150,27000,28000,2165656
2021-03-04,28000,28250,27550,28050,1415562
2021-03-05,27700,27800,27300,27700,1236410
2021-03-08,27750,27800,27000,27050,1623640
2021-03-09,27250,27750,26700,27100,1659144
2021-03-10,27250,27400,27000,27150,799915
2021-03-11,27200,27800,27000,27450,1489367
2021-03-12,27750,27750,27350,27700,755700
2021-03-15,28000,28500,27800,28050,1356172
2021-03-16,28700,28850,28350,28350,1531915
2021-03-17,28600,29400,28400,29050,2378468
2021-03-18,29350,29400,29050,29050,1457639
2021-03-19,28750,29000,28150,29000,1472185
2021-03-22,28050,28600,28000,28200,2817294
2021-03-23,28250,28400,27300,27300,2405924
2021-03-24,25850,27150,25750,26750,6369047
2021-03-25,26550,27300,26300,26800,2590310
2021-03-26,27300,28200,27150,28050,4755324
2021-03-29,28400,28450,27250,27250,3492524
2021-03-30,27350,27550,27250,27350,1449153
2021-03-31,27400,27500,27100,27200,1587846
2021-04-01,27200,27600,27200,27200,1474260
2021-04-02,27300,27450,27150,27250,1759740
2021-04-05,27250,27250,26600,27050,2128787
2021-04-06,27100,27550,27000,27100,1996461
2021-04-07,27150,27500,26900,27200,1767752
2021-04-08,27250,27300,26950,27200,2583974
2021-04-09,27150,27200,26950,27000,1409760
2021-04-12,27000,27000,26700,26800,1474127
2021-04-13,26650,26700,26350,26650,2585131
2021-04-14,26600,26600,26250,26300,2693862
2021-04-15,26300,26900,26050,26450,2539653
2021-04-16,26550,26650,26450,26500,1356172
2021-04-19,26550,26550,26200,26350,1742037
2021-04-20,26300,26950,26200,26850,2421940
2021-04-21,26550,26600,26350,26400,1510191
2021-04-22,26500,26550,26300,26350,1274179
2021-04-23,26250,26300,26050,26200,1248889
2021-04-26,26300,27100,26200,26800,2892019
2021-04-27,26950,27000,26400,26500,1408049
2021-04-28,26500,26900,26250,26650,1983605
2021-04-29,26650,26850,26300,26350,1618634
2021-04-30,26400,27400,26200,26900,4448741
2021-05-03,26900,26900,26000,26400,2480101
2021-05-04,26500,26600,26250,26350,1410952
2021-05-06,26350,27600,26300,27600,5975426
2021-05-07,27700,28300,27550,27900,4839273
2021-05-10,28150,29850,28000,29750,10012006
2021-05-11,29500,30150,29300,30000,6944331
2021-05-12,29800,29900,28700,29400,5597446
2021-05-13,28800,30300,28600,29500,7523214
2021-05-14,30100,30250,29050,29300,3542799
2021-05-17,29950,30800,29450,30500,8708514
2021-05-18,30600,30800,29550,30000,4802020
2021-05-20,29650,30500,29500,29800,3406465
2021-05-21,29900,30150,29450,29550,2373859
2021-05-24,29500,29800,29200,29650,1854842
2021-05-25,30000,31450,29850,31250,9971928
2021-05-26,31350,31750,30800,31500,5080055
2021-05-27,31500,32700,31150,31850,7676413
2021-05-28,31550,32000,31200,31750,3119208
2021-05-31,31800,32500,31550,31950,3489265
2021-06-01,31950,32200,31500,31700,2449861
2021-06-02,31950,34300,31900,33650,11787950
2021-06-03,33750,34050,32850,33500,4808732
2021-06-04,33200,33700,32650,33150,3359676
2021-06-07,33150,33200,31700,32300,5403250
2021-06-08,32550,33250,32000,32700,3710683
2021-06-09,33100,34600,33050,34000,9816280
2021-06-10,34400,35100,33700,33900,6990599
2021-06-11,34050,34700,33850,34500,3322141
2021-06-14,34650,34700,33900,34150,3095574
2021-06-15,34150,34150,33300,33650,3347850
2021-06-16,33500,33950,33300,33700,2029146
2021-06-17,33500,33900,33400,33650,1494600
2021-06-18,33600,33650,33100,33150,2597388
2021-06-21,32500,32650,31700,32000,4749959
2021-06-22,32500,32600,31900,31950,2413280
2021-06-23,31900,32300,30900,31850,4484828
2021-06-24,31300,31850,31100,31650,2421532
2021-06-25,31750,32350,31750,31950,2364462
2021-06-28,31400,31600,31050,31450,2146974
2021-06-29,31500,31750,31200,31500,1502107
2021-06-30,31550,31750,31500,31500,1239009
2021-07-01,31800,32150,31200,31250,1641174
2021-07-02,31300,31600,31300,31350,1022673
2021-07-05,31600,32250,31250,31850,2594913
2021-07-06,32050,32650,32000,32250,1955885
2021-07-07,31800,31800,31300,31500,1885914
2021-07-08,31300,31900,31000,31000,2535059
2021-07-09,30350,30500,29800,30300,4359553
2021-07-12,30350,30950,30100,30500,1768542
2021-07-13,30750,31200,30600,30950,1555649
2021-07-14,30700,30700,30400,30550,1022942
2021-07-15,30700,30850,30400,30800,1005799
2021-07-16,30900,31000,30450,30900,1255195
2021-07-19,30700,30800,30200,30350,1203930
2021-07-20,29700,30200,29600,30000,1796591
2021-07-21,30600,30950,30050,30150,1851507
2021-07-22,30450,30600,30250,30400,1085743
2021-07-23,30350,30500,30000,30300,1179705
2021-07-26,30150,30200,29900,29950,1235451
2021-07-27,30050,30900,30050,30400,1537720
2021-07-28,30250,30400,29950,30150,1241849
2021-07-29,30250,30450,30050,30150,764383
2021-07-30,30100,30150,29900,29900,1332561
2021-08-02,29900,29950,29400,29600,1350184
2021-08-03,29600,29750,29400,29700,1255218
2021-08-04,29750,31300,29750,31200,4561687
2021-08-05,31100,31100,30550,30650,1923011
2021-08-06,31050,31150,30400,30600,1772518
2021-08-09,30450,30700,30150,30200,1384930
2021-08-10,30150,30350,29900,30000,1638296
2021-08-11,30150,30300,29850,30100,1372931
2021-08-12,30050,30450,29900,29900,1818206
2021-08-13,30000,30150,29450,29800,2090932
2021-08-17,29900,29950,28700,28700,3141240
2021-08-18,28700,29400,28500,29200,1473161
2021-08-19,28900,29100,28400,28400,1758907
2021-08-20,28400,28650,27300,27600,2550946
2021-08-23,27600,29000,27550,28700,1899431
2021-08-24,29450,29950,29000,29800,2929756
2021-08-25,30100,30650,29900,30300,2814793
2021-08-26,30250,30500,30000,30350,1681769
2021-08-27,29950,30600,29700,30250,1727180
2021-08-30,30700,31300,30600,31100,3927602
2021-08-31,30800,31300,30500,31300,3513265
2021-09-01,31100,31650,30850,31100,1925268
2021-09-02,31100,31250,30650,30800,1348157
2021-09-03,30900,31500,30800,31200,1718316
2021-09-06,31300,31350,31000,31200,1087906
2021-09-07,31200,31250,30600,30850,1210005
2021-09-08,30600,31250,30600,30700,1514946
2021-09-09,30750,30800,30000,30200,2140402
2021-09-10,30600,31600,30550,31300,4084794
2021-09-13,31050,31600,30650,31200,2217258
2021-09-14,31600,32650,31550,32450,6655900
2021-09-15,32200,32550,31800,32550,2788866
2021-09-16,32850,32900,31950,32100,2090753
2021-09-17,32800,33300,32200,32950,5139632
2021-09-23,33250,34350,32700,34200,8148972
2021-09-24,34450,34500,33850,34250,3886703
2021-09-27,34200,34950,33850,34250,3901857
2021-09-28,34250,34250,33300,33700,3138657
2021-09-29,32850,33650,32800,33500,3540550
2021-09-30,33400,34100,33200,33700,2561605
2021-10-01,33350,33900,33000,33650,2833865
2021-10-05,34250,34550,33350,33500,4685838
2021-10-06,33800,33800,31050,31500,7543647
2021-10-07,31800,31950,31150,31850,2702269
2021-10-08,31900,31900,31000,31300,2511433
2021-10-12,31300,31850,31100,31350,2053486
2021-10-13,31150,31500,30900,31150,2196188
2021-10-14,31050,31050,30150,30800,4037040
2021-10-15,31150,31500,31000,31150,2442381
2021-10-18,31200,31250,30800,30950,1594113
2021-10-19,31100,31300,30600,30750,2078171
2021-10-20,30900,31000,30300,30550,2365364
2021-10-21,30600,30700,30300,30400,1540182
2021-10-22,30450,30700,30250,30450,1142406
2021-10-25,30700,31700,30450,31400,3568020
2021-10-26,31800,31850,31250,31350,1772926
2021-10-27,31050,31100,30700,30800,1741420
2021-10-28,30800,31200,30600,30800,1905201
2021-10-29,30950,31050,30450,30450,1568022
2021-11-01,30550,30800,30450,30450,1054162
2021-11-02,30750,31150,30600,30800,1568722
2021-11-03,30800,30850,30150,30200,1814249
2021-11-04,30500,30700,30250,30300,1255711
2021-11-05,30450,30450,29900,30100,1417837
2021-11-08,30950,31250,30700,31150,3084762
2021-11-09,31150,31150,30600,30850,1474811
2021-11-10,30650,30700,30200,30450,1292035
2021-11-11,30100,31050,30000,30550,2424645
2021-11-12,30650,30800,30500,30550,1482218
2021-11-15,31050,31200,30300,30400,2801729
2021-11-16,30550,31000,30450,30450,1774387
2021-11-17,30450,30450,29850,29850,2419449
2021-11-18,29850,29900,29300,29400,1899679
2021-11-19,29250,29650,29200,29650,1209570
2021-11-22,29450,29450,29050,29350,1720656
2021-11-23,29150,29550,29050,29050,1290481
2021-11-24,29100,29200,28600,28650,1656991
2021-11-25,28650,28650,28050,28150,1864921
2021-11-26,28000,28050,27100,27200,2969702
2021-11-29,25500,27100,25450,26550,4325545
2021-11-30,26700,27500,26200,26500,2807332
2021-12-01,26550,27400,26500,27400,1675317
2021-12-02,26800,28000,26600,27800,2084181
2021-12-03,28800,29000,28150,28500,2224132
2021-12-06,28450,29150,28150,29150,1934608
2021-12-07,29700,29900,29150,29450,1931663
2021-12-08,29850,29850,29000,29100,1742006
2021-12-09,29350,29750,29150,29650,1989060
2021-12-10,29350,29600,29250,29400,751784
2021-12-13,29500,29600,28950,29300,1470192
2021-12-14,28900,29150,28500,29000,1218529
2021-12-15,28900,29300,28850,29100,813436
2021-12-16,29200,29200,28750,29000,831523
2021-12-17,28800,29350,28700,29200,1143242
2021-12-20,29050,29050,28650,28700,800452
2021-12-21,29100,29100,28600,28900,885802
2021-12-22,29300,29600,29100,29200,1132016
2021-12-23,29500,29500,29100,29200,906190
2021-12-24,29450,29450,29150,29200,722944
2021-12-27,28950,29200,28750,28800,1089939
2021-12-28,28850,29050,28750,29000,1115486
2021-12-29,29450,30000,29300,29950,2848477
2021-12-30,29950,30000,29300,29350,1250059
2022-01-03,29500,29650,29100,29500,959973
2022-01-04,29650,29650,28950,29100,1110605
2022-01-05,29100,29200,28700,28900,1692157
2022-01-06,28700,28900,28450,28450,1261156
2022-01-07,28450,28750,28250,28600,1255167
2022-01-10,28600,28700,27900,28100,1469121
2022-01-11,27950,28500,27900,28100,1179548
2022-01-12,28250,28700,28250,28500,1486380
2022-01-13,28500,29300,28450,28800,2027743
