date,open,high,low,close,volume
2021-01-04,26400,26400,25750,26300,1071873
2021-01-05,26050,28350,25950,28050,3748502
2021-01-06,28750,29000,27250,27650,2055207
2021-01-07,28250,28750,27900,28250,1290909
2021-01-08,28550,28650,27650,28100,1740704
2021-01-11,27850,28800,26350,27000,2985202
2021-01-12,27000,28650,26600,28100,2472988
2021-01-13,28300,28450,27550,28050,1017492
2021-01-14,28300,28650,27400,28350,1169264
2021-01-15,28550,28950,27600,27650,1044188
2021-01-18,27400,28700,26950,28100,1294552
2021-01-19,29000,30600,28700,30600,2965987
2021-01-20,30750,31250,29450,31050,1683077
2021-01-21,31300,32100,30500,30950,1444602
2021-01-22,31050,32100,30400,31500,1426211
2021-01-25,31500,31700,30350,31150,1443060
2021-01-26,30900,31050,29500,29750,1265372
2021-01-27,29950,30200,28800,28950,936031
2021-01-28,28200,29800,28100,29050,1025936
2021-01-29,29200,29500,27000,27350,1430998
2021-02-01,27350,29000,26950,28900,1041627
2021-02-02,29450,29600,28400,29200,687622
2021-02-03,30450,31000,29900,31000,2087987
2021-02-04,31700,32250,29300,29550,3014989
2021-02-05,29900,29900,28600,29100,1027511
2021-02-08,29200,29500,28600,29000,591296
2021-02-09,29050,29200,28600,28650,571549
2021-02-10,28700,29000,28400,29000,460063
2021-02-15,29300,29450,28850,29450,494854
2021-02-16,29600,29650,29000,29100,568101
2021-02-17,29100,29150,28550,28750,445512
2021-02-18,28750,28850,28200,28200,435670
2021-02-19,28100,28300,27200,28200,661660
2021-02-22,28350,28350,27550,27600,406978
2021-02-23,27500,27750,27150,27500,437548
2021-02-24,27500,27650,26600,26650,651643
2021-02-25,27050,27500,26800,27500,406808
2021-02-26,26650,26950,26500,26800,428971
2021-03-02,27100,27300,26500,26800,486470
2021-03-03,26750,26950,26650,26850,267133
2021-03-04,26550,26700,26250,26400,399362
2021-03-05,26000,26150,25250,25800,489970
2021-03-08,26050,26250,25700,25750,343909
2021-03-09,25750,27100,25550,27100,721616
2021-03-10,27300,27300,26050,26200,470683
2021-03-11,26250,27150,26250,26950,503477
2021-03-12,27200,27600,27150,27400,444614
2021-03-15,27700,28900,27450,28500,924491
2021-03-16,28900,28900,28300,28650,487591
2021-03-17,28750,28750,28050,28350,272093
2021-03-18,28450,28750,28100,28100,286025
2021-03-19,27700,28100,27550,27800,394083
2021-03-22,28300,28750,28250,28500,537040
2021-03-23,28600,29850,28500,29000,1507385
2021-03-24,29000,29450,28450,29200,479600
2021-03-25,29150,29550,28850,29200,493741
2021-03-26,29450,30150,29400,30050,916759
2021-03-29,30200,30500,29750,29900,745367
2021-03-30,30100,30150,29000,29100,688463
2021-03-31,29100,29450,28700,29350,345011
2021-04-01,29350,29400,28700,28900,456767
2021-04-02,29050,29100,28300,28700,420906
2021-04-05,28650,29400,28500,29350,483675
2021-04-06,29750,30150,28900,29200,1016323
2021-04-07,29350,29650,29150,29400,552911
2021-04-08,29650,30450,28850,29800,1701476
2021-04-09,30050,30200,28950,29100,920192
2021-04-12,29150,29250,28400,28450,634529
2021-04-13,28400,28650,27900,27950,706564
2021-04-14,28000,28500,27950,28500,411354
2021-04-15,28550,28600,28100,28200,294407
2021-04-16,28300,28450,27900,27900,606449
2021-04-19,28000,28150,27650,28100,375114
2021-04-20,28400,28650,28250,28550,505741
2021-04-21,28550,28550,27850,27900,482204
2021-04-22,28050,28250,27900,28050,272107
2021-04-23,28050,28150,27650,27950,303738
2021-04-26,28250,28300,28000,28250,301285
2021-04-27,28500,28550,28150,28550,514935
2021-04-28,28700,28800,27950,28000,672593
2021-04-29,28050,28600,27750,28150,754633
2021-04-30,28200,28200,27750,28000,503017
2021-05-03,28000,28550,27800,27850,595599
2021-05-04,27850,27950,27000,27400,489751
2021-05-06,27400,28100,27200,28050,356241
2021-05-07,28150,29550,28100,29400,1681510
2021-05-10,29750,30200,29550,29900,1111900
2021-05-11,29700,30300,29500,30200,1052504
2021-05-12,30050,30200,28650,29000,903568
2021-05-13,28300,29100,28100,28600,668065
2021-05-14,28800,29000,28350,28750,450443
2021-05-17,29100,29150,28150,28300,456124
2021-05-18,28600,28950,28450,28600,402811
2021-05-20,28200,28750,28050,28300,363176
2021-05-21,28500,28600,27950,28050,368746
2021-05-24,27950,28350,27750,27950,327066
2021-05-25,28000,28100,27800,28000,331093
2021-05-26,28000,28100,27800,28050,285005
2021-05-27,28250,29300,28100,29250,911567
2021-05-28,29150,29250,28850,29250,418030
2021-05-31,29350,29750,29200,29600,480825
2021-06-01,29700,29750,29300,29550,487228
2021-06-02,29500,30150,29250,29600,754691
2021-06-03,30000,30000,29150,29650,562341
2021-06-04,29650,29950,29400,29800,447693
2021-06-07,30150,31300,29750,31100,1995870
2021-06-08,31200,32850,31150,31950,2519846
2021-06-09,32300,32400,31350,31400,1038431
2021-06-10,30200,30850,29800,30100,3400481
2021-06-11,29900,30300,29600,30000,1087033
2021-06-14,29850,29850,29150,29300,1049511
2021-06-15,29150,29800,29100,29300,779897
2021-06-16,29450,30050,29400,29650,748574
2021-06-17,29550,29850,29350,29750,350446
2021-06-18,29750,29800,29300,29500,456282
2021-06-21,29300,29850,29100,29500,540011
2021-06-22,29800,30250,29700,30100,648430
2021-06-23,30250,30350,29500,29600,457004
2021-06-24,29700,30700,29600,30450,849191
2021-06-25,30900,31300,30700,30850,889101
2021-06-28,30900,31450,30450,31100,696049
2021-06-29,31350,31350,30750,31000,403864
2021-06-30,31000,31750,30700,31500,602819
2021-07-01,31550,31650,31000,31050,416464
2021-07-02,31050,32550,31000,32350,1318163
2021-07-05,32650,33000,32050,32100,822513
2021-07-06,32500,33400,32400,32850,1099216
2021-07-07,32800,32950,32100,32800,519670
2021-07-08,33000,33100,31550,31750,824157
2021-07-09,31200,32300,30800,32100,963780
2021-07-12,32550,33000,32250,32750,517951
2021-07-13,33000,33350,32750,32850,494978
2021-07-14,32800,32800,32100,32300,437531
2021-07-15,32500,32500,32100,32300,257745
2021-07-16,32000,32350,31650,32150,372562
2021-07-19,31700,32000,31650,31950,271164
2021-07-20,31300,31700,31150,31600,500518
2021-07-21,31700,32000,31250,31500,340064
2021-07-22,31600,31700,31150,31350,367782
2021-07-23,31150,31450,30950,31050,323740
2021-07-26,31000,31100,30450,30800,338712
2021-07-27,31200,31550,31000,31000,295277
2021-07-28,31000,31500,30600,30900,356792
2021-07-29,31050,31250,30750,31150,251541
2021-07-30,31200,31200,30850,31050,268197
2021-08-02,31050,31250,30500,30650,290648
2021-08-03,30450,30550,29850,30150,400795
2021-08-04,30150,30500,29900,30300,252203
2021-08-05,30350,30950,30150,30750,260127
2021-08-06,30800,30900,30550,30800,168699
2021-08-09,30650,30800,30050,30200,298505
2021-08-10,30000,30150,29600,29700,345195
2021-08-11,29600,30000,29450,29500,290001
2021-08-12,29700,30400,29650,29850,366624
2021-08-13,30150,30200,28850,29400,407811
2021-08-17,29150,29450,28550,28600,368272
2021-08-18,28500,29700,28500,29250,313056
2021-08-19,28950,29100,27950,28000,423103
2021-08-20,28200,28350,27250,27400,384635
2021-08-23,27700,28200,27400,27750,317157
2021-08-24,28050,28750,28050,28700,299509
2021-08-25,28800,29150,28300,28600,260536
2021-08-26,28600,28850,28250,28450,205975
2021-08-27,28100,28650,28050,28450,191358
2021-08-30,28700,30000,28650,29600,526286
2021-08-31,29950,30200,29350,29900,454543
2021-09-01,29900,30400,29850,29900,332969
2021-09-02,29900,29950,29400,29550,207764
