date,open,high,low,close,volume
2021-01-04,28700,29650,28450,29350,1120170
2021-01-05,29200,29900,28850,29500,867244
2021-01-06,29900,29900,28700,29100,797690
2021-01-07,29700,31700,29400,31000,2129955
2021-01-08,31600,31900,30750,31300,1270567
2021-01-11,31350,31700,29400,30300,1594204
2021-01-12,30000,30300,29150,29450,734343
2021-01-13,29850,31150,29850,30350,806949
2021-01-14,30700,31100,30200,30700,573114
2021-01-15,32050,32500,30800,31200,1342536
2021-01-18,31050,32050,30250,30500,1089634
2021-01-19,31000,31400,30650,31250,657464
2021-01-20,31700,31700,30900,31400,721792
2021-01-21,32100,36600,32050,36150,5007958
2021-01-22,35500,36050,34500,34500,1912550
2021-01-25,34650,35300,34050,34600,1036627
2021-01-26,35300,37600,34950,35850,2296395
2021-01-27,35950,36350,34500,35100,878737
2021-01-28,33850,34350,33050,33400,918372
2021-01-29,33500,33550,31150,32150,1188402
2021-02-01,31950,32900,31200,32900,645472
2021-02-02,33400,34500,33200,33800,819071
2021-02-03,34300,34350,33500,34000,457812
2021-02-04,34000,34950,33550,33800,614006
2021-02-05,34250,34600,33750,34100,432853
2021-02-08,34350,34450,33650,33650,370199
2021-02-09,33800,34250,33250,33250,382981
2021-02-10,33450,33900,32800,33800,392847
2021-02-15,34200,34200,33600,33650,375721
2021-02-16,33850,34450,33550,33800,376004
2021-02-17,33850,33900,32850,32900,511277
2021-02-18,32800,33100,31900,31900,523304
2021-02-19,32000,32350,30850,31600,533534
2021-02-22,31750,31900,31000,31100,334141
2021-02-23,30800,31300,30250,30850,424731
2021-02-24,30850,31100,29450,29650,545868
2021-02-25,30050,30650,29850,30550,297800
2021-02-26,29900,29900,29000,29350,648258
2021-03-02,30150,30300,29300,29550,453244
2021-03-03,29500,30150,29500,30150,275693
2021-03-04,30100,30100,29100,29250,409278
2021-03-05,28550,28800,28250,28650,405180
2021-03-08,29200,29200,28650,28750,229019
2021-03-09,28650,28900,27700,28500,454058
2021-03-10,28750,29050,28400,28600,267630
2021-03-11,28600,29400,28600,29150,296497
2021-03-12,29750,29850,29400,29700,260335
2021-03-15,29800,29900,29400,29500,171620
2021-03-16,29550,29750,29300,29600,201601
2021-03-17,29600,29650,29150,29550,174003
2021-03-18,29650,30100,29600,29650,324627
2021-03-19,29300,29750,29150,29750,280155
2021-03-22,29850,29900,29450,29750,218172
2021-03-23,29800,30000,29200,29200,224806
2021-03-24,29000,29400,28750,29150,155058
2021-03-25,29250,29800,29100,29400,230202
2021-03-26,29700,30400,29600,30200,467424
2021-03-29,30500,30850,30200,30500,410598
2021-03-30,30900,31150,30700,31050,401842
2021-03-31,30950,31900,30600,31850,553574
2021-04-01,31950,32250,31500,31650,358741
2021-04-02,31800,31850,30650,30750,336812
2021-04-05,30750,31150,30500,30900,180102
2021-04-06,30950,31050,30300,30500,272463
2021-04-07,30500,30950,30450,30950,156954
2021-04-08,30750,31250,30500,31000,212338
2021-04-09,31000,31100,30800,30850,150010
2021-04-12,30850,31250,30700,31200,200246
2021-04-13,31100,31450,31000,31350,242530
2021-04-14,31350,32150,31150,32100,397383
2021-04-15,32200,32200,31550,31550,278893
2021-04-16,31650,31700,31400,31550,234858
2021-04-19,31500,31500,31100,31450,227869
2021-04-20,32000,33100,31900,32450,825956
2021-04-21,32500,32550,31650,31800,329217
2021-04-22,31900,32350,31850,32200,251780
2021-04-23,32200,32250,31550,31900,240053
2021-04-26,32000,32500,31850,32350,250243
2021-04-27,32400,32400,31700,31850,273610
2021-04-28,31850,32300,31600,31900,398770
2021-04-29,31800,32050,31100,31600,301380
2021-04-30,31700,31750,30800,30800,289629
2021-05-03,30750,30750,29650,29800,621018
2021-05-04,29650,30600,29150,30550,563867
2021-05-06,30550,32400,30250,31800,856471
2021-05-07,31850,32250,31450,31500,379264
