date,open,high,low,close,volume
2021-01-04,22600,22650,22300,22400,397341
2021-01-05,22500,22550,22100,22500,511965
2021-01-06,22400,22700,22150,22400,637499
2021-01-07,22550,23150,22450,23050,851317
2021-01-08,23200,23200,22650,23050,633429
2021-01-11,23150,23150,22250,22500,777775
2021-01-12,22500,22550,22200,22350,663151
2021-01-13,22500,22750,22300,22600,637291
2021-01-14,22500,22650,22300,22450,724585
2021-01-15,22550,22600,22200,22350,782319
2021-01-18,22250,22300,21550,21550,966486
2021-01-19,21750,21800,21500,21600,370262
2021-01-20,21600,21650,21050,21200,821526
2021-01-21,21250,21550,21150,21450,570184
2021-01-22,21350,21400,20900,20950,758734
2021-01-25,20950,20950,20450,20650,697072
2021-01-26,20750,21000,20600,20800,453941
2021-01-27,20900,21100,20300,20350,809345
2021-01-28,20150,20200,19800,20150,524231
2021-01-29,20150,20450,19900,19900,477056
2021-02-01,19850,20250,19850,20200,336157
2021-02-02,20200,20650,20150,20500,450457
2021-02-03,20600,20700,20300,20350,365750
2021-02-04,20400,20400,19900,20100,493020
2021-02-05,20050,20200,19950,20100,372804
2021-02-08,20150,20450,20150,20450,412010
2021-02-09,20500,20900,20350,20700,725037
2021-02-10,20800,20800,20450,20600,468992
2021-02-15,20900,21050,20700,20700,489283
2021-02-16,20700,20750,20500,20650,307700
2021-02-17,20500,20950,20450,20800,474448
2021-02-18,20900,20900,20400,20400,537670
2021-02-19,20500,20750,20200,20650,559676
2021-02-22,20800,21750,20750,21550,1537160
2021-02-23,21900,22000,21500,21800,1432027
2021-02-24,21800,21900,21250,21250,793112
2021-02-25,21500,21950,21400,21700,852206
2021-02-26,21550,21900,21400,21900,928425
2021-03-02,21800,22300,21700,22300,857762
2021-03-03,22250,22800,22200,22550,917640
2021-03-04,22600,22800,22300,22600,546224
2021-03-05,22500,23200,22450,23150,1018061
2021-03-08,23300,23700,22900,23600,961228
2021-03-09,23700,23950,23450,23850,850321
2021-03-10,23450,23550,23050,23400,638204
2021-03-11,23500,23750,23100,23300,551948
2021-03-12,23300,23500,22850,23450,527312
2021-03-15,23750,24000,23550,23750,447591
2021-03-16,23800,23850,23600,23800,459834
2021-03-17,23750,24050,23650,23950,395153
2021-03-18,23900,24000,23650,23850,420044
2021-03-19,24050,24250,23950,24250,582075
2021-03-22,24350,24350,24100,24100,277915
2021-03-23,24000,24050,23450,23650,432190
2021-03-24,23400,23700,23300,23550,304353
2021-03-25,23400,23950,23300,23750,369201
2021-03-26,23750,23950,23500,23500,546957
2021-03-29,23700,24150,23550,24050,452741
2021-03-30,24150,24350,24050,24150,277707
2021-03-31,24200,24850,24150,24500,622487
2021-04-01,24550,24700,23950,24000,362101
2021-04-02,23950,24000,23450,23600,407706
2021-04-05,23500,23650,23200,23600,192800
2021-04-06,23600,23600,23350,23500,168878
2021-04-07,23450,23650,23350,23600,193485
2021-04-08,23550,23650,23400,23450,315237
2021-04-09,23450,23450,23150,23200,318040
2021-04-12,23250,23450,23100,23250,212588
2021-04-13,23350,23350,23050,23200,243471
2021-04-14,23200,23400,23100,23250,298644
2021-04-15,23300,23650,23300,23550,318110
2021-04-16,23450,23850,23250,23750,335469
2021-04-19,23800,24150,23750,24050,374451
2021-04-20,24150,24950,24000,24850,861550
2021-04-21,24700,24800,24150,24350,434789
2021-04-22,24450,24650,24350,24550,338463
2021-04-23,24450,25300,24200,25150,514389
2021-04-26,25300,25550,25150,25350,426020
2021-04-27,25250,25550,24900,25350,395494
2021-04-28,25400,25850,25200,25550,437371
2021-04-29,25550,25700,24650,24650,433168
2021-04-30,24750,24850,24250,24350,631250
2021-05-03,24400,24600,23900,23900,767555
2021-05-04,23900,24000,22850,23300,1275688
2021-05-06,23500,24250,23450,24250,1005182
2021-05-07,24250,25100,24050,24900,939071
2021-05-10,25000,25250,24650,24900,686627
2021-05-11,24900,25450,24800,25350,733439
2021-05-12,25300,25300,23600,23900,2022900
2021-05-13,23500,25500,23400,24950,1732371
2021-05-14,25300,25500,24450,24800,744984
2021-05-17,24550,24600,23700,23800,1151645
2021-05-18,23850,24200,23600,23900,940717
2021-05-20,23650,24200,23500,24050,732169
2021-05-21,24050,24200,23600,23600,657073
2021-05-24,23650,24250,23500,24050,826059
2021-05-25,23900,24450,23800,23950,1183281
2021-05-26,24050,24100,23800,23900,876436
2021-05-27,23900,24700,23800,23800,8347594
2021-05-28,24150,24850,24150,24550,1361940
2021-05-31,24800,24900,24350,24400,729509
2021-06-01,24450,24700,24250,24500,588366
2021-06-02,24550,24650,24200,24350,806398
2021-06-03,24350,24400,23850,24050,1088077
2021-06-04,24050,24100,23750,23750,828384
2021-06-07,23850,23900,23500,23650,738716
2021-06-08,23750,24700,23700,24500,1276489
2021-06-09,24600,24650,24150,24150,724761
2021-06-10,24300,24300,23700,23750,1062108
2021-06-11,23800,23900,23650,23800,481944
2021-06-14,23900,24000,23700,23850,438214
2021-06-15,23850,23950,23650,23850,559516
2021-06-16,24150,24900,24100,24800,1765016
2021-06-17,24900,25200,24550,24800,1291254
2021-06-18,24800,24850,24350,24350,746638
2021-06-21,24200,24300,23800,23900,895087
2021-06-22,24150,24250,24000,24200,480535
2021-06-23,24300,24500,24150,24200,622854
2021-06-24,24200,24550,23900,24450,631007
2021-06-25,24550,25450,24500,25400,1838594
2021-06-28,25550,26500,25250,26200,1767515
2021-06-29,26200,26200,25650,25850,791111
2021-06-30,25750,25950,25300,25500,800848
2021-07-01,25550,25700,25200,25500,535081
