date,open,high,low,close,volume
2021-01-04,21850,21950,21000,21600,999536
2021-01-05,21600,23150,21400,22950,2686020
2021-01-06,23200,23600,21700,22650,2412716
2021-01-07,23500,23550,22100,22450,1699801
2021-01-08,22900,23000,22000,22450,1147057
2021-01-11,22600,22900,21100,22050,1293777
2021-01-12,21900,22050,21000,21550,893989
2021-01-13,21550,22300,21400,21850,620522
2021-01-14,21800,22000,21250,21500,596004
2021-01-15,21750,21900,20450,20750,865214
2021-01-18,19800,20450,19650,19950,943614
2021-01-19,20300,21400,19900,21400,775764
2021-01-20,21600,22000,20650,22000,1470037
2021-01-21,21950,21950,21150,21400,969915
2021-01-22,20950,21200,20600,20600,693594
2021-01-25,20600,20800,20000,20300,713526
2021-01-26,20300,20550,19950,20150,548799
2021-01-27,20500,20650,20000,20200,629585
2021-01-28,19600,19950,19350,19900,626083
2021-01-29,20100,20150,18350,18700,688372
2021-02-01,18200,19700,17800,19550,563489
2021-02-02,19650,19650,18850,19050,460392
2021-02-03,19150,19500,18800,19000,353969
2021-02-04,19250,19250,18200,18450,510092
2021-02-05,18750,20900,18450,19950,2414774
2021-02-08,20450,21900,20250,20250,2570103
2021-02-09,20250,20450,19650,19800,587688
2021-02-10,19600,19750,18950,19500,476626
2021-02-15,19500,19600,18850,19200,442400
2021-02-16,19250,19250,18500,18750,847738
2021-02-17,18800,18850,18100,18450,706491
2021-02-18,18350,18850,17850,18150,552550
2021-02-19,18200,18300,17000,17800,1077749
2021-02-22,18200,18300,17750,17850,435396
2021-02-23,17600,18500,17000,18250,823323
2021-02-24,18250,18400,17250,17400,443460
2021-02-25,17850,17900,17150,17450,376773
2021-02-26,16600,17150,16250,16900,498975
2021-03-02,17200,17250,16100,16200,526122
2021-03-03,15950,16550,15700,16400,368424
2021-03-04,16050,16150,15500,15700,411598
2021-03-05,15300,15450,14750,15300,563567
2021-03-08,15600,15600,14250,14300,663647
2021-03-09,14200,14700,13300,14300,1040839
2021-03-10,14800,15750,14600,14700,1057876
2021-03-11,14750,15300,14300,15300,380164
2021-03-12,15900,17700,15850,17600,2083024
2021-03-15,17450,17750,16950,17550,568557
2021-03-16,17450,18400,17350,18200,616239
2021-03-17,18200,18300,17500,18000,356836
2021-03-18,18200,18300,17800,18100,297457
2021-03-19,17600,17900,17500,17850,267398
2021-03-22,18100,18100,17550,17650,301237
2021-03-23,17850,18300,17600,17850,481448
2021-03-24,17850,19400,17550,19000,1793656
2021-03-25,19250,20700,18850,19950,2925077
2021-03-26,20050,20550,19450,20300,1316919
2021-03-29,20300,21900,20000,21600,2604803
2021-03-30,21850,22150,21500,21550,1527264
2021-03-31,21750,21950,20600,21400,1043619
2021-04-01,21400,21950,21100,21750,748591
2021-04-02,21800,21850,20100,20450,1234364
2021-04-05,20300,20600,19700,19900,766894
2021-04-06,19900,20500,19350,20500,670679
2021-04-07,20350,20550,19900,20300,429510
2021-04-08,20450,20700,20000,20550,481738
2021-04-09,20700,21250,20100,21100,844283
2021-04-12,21500,22000,20450,20700,1383654
2021-04-13,21000,21200,20200,20600,740760
2021-04-14,20750,21450,20250,21450,747885
2021-04-15,21550,21600,20800,20900,702691
2021-04-16,21100,21150,20550,20900,549693
2021-04-19,21100,21100,20750,20900,441282
2021-04-20,20900,20950,20550,20600,300551
2021-04-21,20400,20600,20000,20150,401723
2021-04-22,20300,20700,19800,20100,453239
2021-04-23,20400,20900,20250,20500,866234
2021-04-26,20450,20500,19800,20050,592546
2021-04-27,19900,19950,19000,19100,763565
2021-04-28,18950,18950,18000,18400,950277
2021-04-29,18350,18750,17800,18000,427486
2021-04-30,18350,19500,18200,19350,1157029
2021-05-03,19100,20050,18750,18950,731918
2021-05-04,18750,19000,17800,18350,632941
2021-05-06,18350,19100,17950,19000,371666
2021-05-07,19600,20100,19100,19200,899458
2021-05-10,19050,19350,18550,18600,488860
2021-05-11,18400,18450,17950,18200,498054
2021-05-12,18700,19000,18000,18150,404409
2021-05-13,17700,18200,17500,17600,387167
2021-05-14,17850,18000,17600,17900,213114
2021-05-17,18000,18400,17600,18150,257200
2021-05-18,18250,18450,18000,18350,200894
2021-05-20,18400,18500,17950,18350,167440
2021-05-21,18500,18650,18300,18350,208354
2021-05-24,18400,18450,17900,18350,163475
2021-05-25,18550,19250,18200,19200,560314
2021-05-26,19300,19500,18900,19200,435615
2021-05-27,19350,19800,19200,19750,584790
2021-05-28,19800,19850,19250,19550,306644
2021-05-31,19650,19750,19050,19250,374762
2021-06-01,19300,19800,19000,19750,499853
2021-06-02,19850,19850,19200,19350,320139
2021-06-03,19300,19300,18650,18800,613142
2021-06-04,18700,18950,18450,18750,277141
2021-06-07,18900,19350,18750,18800,379698
2021-06-08,19000,19250,18750,18750,225278
2021-06-09,18750,18950,18450,18450,239244
2021-06-10,18400,19100,18150,18850,815209
2021-06-11,18700,18700,18200,18600,640203
2021-06-14,19050,19400,18750,19100,521157
2021-06-15,19400,19400,18600,18800,298668
2021-06-16,18900,19050,18800,19000,256855
2021-06-17,19150,19150,18600,18650,244054
2021-06-18,18650,18800,18550,18750,170261
2021-06-21,18500,18550,18150,18250,295290
2021-06-22,18300,18500,18100,18200,310214
2021-06-23,18250,18350,17800,17900,528689
2021-06-24,17900,18000,17700,17900,253637
2021-06-25,18100,18200,17800,17850,251288
2021-06-28,17800,17850,17600,17650,235496
2021-06-29,17750,17850,17400,17500,385769
2021-06-30,17550,17700,17450,17550,252846
2021-07-01,17650,17700,17100,17150,376952
2021-07-02,17150,17700,17150,17450,267116
2021-07-05,17450,17700,17250,17550,185717
2021-07-06,17550,18100,17550,17750,322259
2021-07-07,17750,17750,17200,17300,359172
2021-07-08,17300,17350,16450,16600,694279
2021-07-09,16300,16700,15900,16700,621251
2021-07-12,16850,17400,16550,17250,426845
2021-07-13,17200,18100,17050,17950,965185
2021-07-14,18000,18050,17650,18050,478731
2021-07-15,18350,18400,17550,17650,611975
2021-07-16,17400,17550,17050,17400,313707
2021-07-19,17350,17850,17050,17700,364617
2021-07-20,17500,18500,17250,18250,1104986
2021-07-21,18800,19000,18300,18650,1158157
2021-07-22,18750,19150,18500,18500,874074
2021-07-23,18600,18600,18000,18100,661279
2021-07-26,17850,17950,17300,17400,657532
2021-07-27,17350,17600,17100,17400,316580
2021-07-28,17300,17650,17100,17250,231037
2021-07-29,17350,17450,17050,17150,200383
2021-07-30,17200,17200,16800,16800,230274
2021-08-02,16900,17000,16500,16800,212397
2021-08-03,16650,17000,16500,16650,303500
2021-08-04,16750,17300,16550,17250,238040
2021-08-05,17250,17300,17000,17150,130858
2021-08-06,17350,17600,17200,17350,216968
2021-08-09,17100,17600,16850,17400,368042
2021-08-10,17400,17550,17000,17150,232164
2021-08-11,17250,17600,17000,17400,371146
2021-08-12,17350,19200,17100,19000,2278617
2021-08-13,19300,20150,18750,19800,3330346
2021-08-17,19900,20150,18350,18600,1772531
2021-08-18,18000,18750,17550,18600,991803
2021-08-19,18300,18400,17600,17600,764727
2021-08-20,17950,18650,17750,18200,1063171
2021-08-23,18550,19550,18150,19350,1129251
2021-08-24,19600,20050,18900,19700,1455900
2021-08-25,19750,21650,19450,21000,4729942
2021-08-26,21100,22000,20700,21500,2926662
2021-08-27,21600,22400,20950,21400,2076192
2021-08-30,21400,21450,20300,20500,1505835
2021-08-31,20650,21400,20350,20700,1245619
2021-09-01,20500,21100,19900,20300,1057847
2021-09-02,20250,20750,19750,19900,1578183
2021-09-03,19850,20200,19300,20050,949108
2021-09-06,19850,20500,19700,20300,828780
2021-09-07,20350,20600,19900,20050,539228
2021-09-08,20050,20850,19850,20500,1306237
2021-09-09,20400,20400,19300,19950,1320396
2021-09-10,19950,20000,19300,19350,570584
2021-09-13,19800,20550,19350,20400,976532
2021-09-14,20400,21150,20050,21000,822060
2021-09-15,20800,21500,20650,21150,780193
2021-09-16,20850,21700,20750,21350,816085
2021-09-17,21500,21500,20900,21050,424181
2021-09-23,20550,20800,20100,20400,453515
2021-09-24,20400,21150,20050,20050,626453
2021-09-27,20300,22200,20150,21850,2154677
2021-09-28,22000,22450,21350,21700,1297853
2021-09-29,20950,21150,20150,20600,1101979
2021-09-30,20750,22400,20650,22050,1535176
2021-10-01,21850,21900,20550,20600,1110758
2021-10-05,20350,20900,20000,20800,518204
2021-10-06,21050,21300,20250,20700,619453
2021-10-07,21150,21900,20550,21200,868123
2021-10-08,21500,21500,20300,20550,506323
2021-10-12,20500,20850,20050,20550,325506
2021-10-13,20700,21100,20400,21050,417219
2021-10-14,21400,21600,21050,21300,355407
2021-10-15,21550,21800,20900,21500,516927
2021-10-18,21500,21500,20100,20350,1064319
2021-10-19,20450,20900,20100,20600,567318
2021-10-20,20850,20900,20050,20250,527820
2021-10-21,20450,21050,20250,20550,590716
2021-10-22,20500,20800,20100,20200,426664
2021-10-25,20200,20400,19750,20050,362467
2021-10-26,20200,20350,19950,20150,248221
2021-10-27,20200,20800,20100,20300,442179
2021-10-28,20350,20750,20000,20600,540053
2021-10-29,20600,21200,20350,20750,829380
2021-11-01,20800,22400,20800,21500,2226655
2021-11-02,21450,21500,20400,20500,917308
2021-11-03,20350,20750,20200,20200,369050
2021-11-04,20250,20550,18350,19450,1696417
2021-11-05,19150,19650,18600,19100,540174
2021-11-08,19300,20000,19000,19750,683023
2021-11-09,19550,20000,19500,19700,280970
2021-11-10,19700,19700,19050,19100,363161
2021-11-11,18850,19350,18650,19250,237944
2021-11-12,19150,20650,19000,20500,607606
2021-11-15,20900,22350,20800,21600,2111457
2021-11-16,21800,24750,21700,24750,4970682
2021-11-17,25500,25650,21950,23600,6831061
2021-11-18,24050,25100,22000,23300,4142429
2021-11-19,23250,23700,22400,22800,1235494
2021-11-22,22700,22750,20400,20500,2117978
2021-11-23,20350,20800,19650,19800,1040928
2021-11-24,19750,20200,19100,20150,934562
2021-11-25,20450,21050,20000,20400,823411
2021-11-26,20650,20650,19350,19500,627485
2021-11-29,19000,20300,18750,20300,791159
2021-11-30,20300,21700,19900,20950,1591490
