date,open,high,low,close,volume
2021-01-04,11150,11150,10850,11000,538865
2021-01-05,10900,11350,10850,11350,1040770
2021-01-06,11550,11550,11100,11150,841421
2021-01-07,11250,11550,11200,11400,1072559
2021-01-08,11500,11550,11150,11250,699369
2021-01-11,11200,11350,10700,10850,1133645
2021-01-12,10900,11050,10700,10850,744052
2021-01-13,10950,11000,10800,10950,348139
2021-01-14,10950,11300,10900,11200,473854
2021-01-15,11250,11300,11000,11050,541120
2021-01-18,10950,11150,10850,10950,451052
2021-01-19,11050,11800,11000,11800,1902382
2021-01-20,12000,12000,11500,11850,939050
2021-01-21,11900,12100,11750,11800,656250
2021-01-22,11850,11950,11650,11750,527240
2021-01-25,11850,12050,11700,11950,678021
2021-01-26,11950,11950,11550,11600,569657
2021-01-27,11650,11950,11550,11650,732548
2021-01-28,11450,11600,11250,11400,676796
2021-01-29,11500,11500,10600,10950,947284
2021-02-01,10800,11200,10750,11100,430414
2021-02-02,11150,11450,11100,11350,545026
2021-02-03,11500,11850,11400,11800,627669
2021-02-04,11900,12100,11400,11500,934275
2021-02-05,11900,11950,11500,11600,578405
2021-02-08,11700,11850,11600,11700,579683
2021-02-09,11800,11800,11550,11600,370329
2021-02-10,11600,11650,11350,11550,363557
2021-02-15,11600,11650,11500,11500,362506
2021-02-16,11550,11550,11400,11500,293125
2021-02-17,11450,11500,11200,11250,494273
2021-02-18,11300,11350,11200,11200,277877
2021-02-19,11200,11250,10900,11150,463945
2021-02-22,11150,11350,11100,11200,249132
2021-02-23,11100,11250,11050,11150,261374
2021-02-24,11200,11250,10850,10900,491235
2021-02-25,11050,11150,11000,11100,261197
2021-02-26,10900,10950,10750,10950,361443
2021-03-02,11050,11150,10900,11000,274702
2021-03-03,10900,11100,10900,11050,129001
2021-03-04,11000,11050,10850,10950,259523
2021-03-05,10800,10850,10700,10850,238040
2021-03-08,10900,10950,10750,10800,282921
2021-03-09,10800,10900,10550,10900,293911
2021-03-10,10950,11000,10650,10700,206041
2021-03-11,10750,10950,10750,10800,213351
2021-03-12,10900,10950,10850,10900,205570
2021-03-15,10900,11100,10850,11050,250163
2021-03-16,11100,11150,11000,11100,218507
2021-03-17,11150,11200,10950,11100,180115
2021-03-18,11150,11200,11100,11150,208673
2021-03-19,11000,11250,10950,11150,413257
2021-03-22,11200,11350,11150,11300,419084
2021-03-23,11300,11350,11150,11250,334071
2021-03-24,11250,11250,11000,11100,254974
2021-03-25,11100,11200,11050,11150,148964
2021-03-26,11200,11250,11100,11250,334392
2021-03-29,11300,11450,11200,11300,497821
2021-03-30,11350,11400,11150,11200,399816
2021-03-31,11150,11250,11150,11250,214059
2021-04-01,11250,11350,11200,11350,348692
2021-04-02,11400,11400,11300,11350,302481
2021-04-05,11350,11900,11350,11800,1239153
2021-04-06,11900,11950,11700,11800,428814
2021-04-07,11850,12250,11850,12200,874806
2021-04-08,12300,12650,12150,12600,1064503
2021-04-09,12650,12700,12400,12550,433812
2021-04-12,12600,12700,12350,12400,374017
2021-04-13,12500,12550,12350,12400,316643
2021-04-14,12350,12450,12200,12450,373501
2021-04-15,12450,12450,12100,12200,454155
2021-04-16,12200,12250,12050,12200,259059
2021-04-19,12250,12250,11950,12000,398538
2021-04-20,11900,12050,11750,11850,1145453
2021-04-21,11850,11850,11550,11650,414746
2021-04-22,11700,11800,11650,11700,270288
2021-04-23,11650,11750,11550,11700,264462
2021-04-26,11750,11950,11700,11950,370493
2021-04-27,12000,12050,11850,12050,328025
2021-04-28,12000,12050,11800,11850,337848
2021-04-29,11800,11900,11650,11850,280593
2021-04-30,12000,12200,11900,12150,738995
2021-05-03,12150,12600,12100,12300,931964
2021-05-04,12350,12400,11800,12100,528668
2021-05-06,12050,12500,12000,12450,709772
2021-05-07,12550,12950,12450,12950,1260677
2021-05-10,13350,14700,13200,14600,5240652
2021-05-11,14400,15600,14400,15250,2682506
