date,open,high,low,close,volume
2021-01-04,15250,15250,14900,15150,441362
2021-01-05,15000,15200,14750,15150,387694
2021-01-06,15200,15300,14850,15200,349599
2021-01-07,15250,15550,14950,15050,716272
2021-01-08,15150,15300,14850,15100,533439
2021-01-11,15100,15150,14650,14900,505300
2021-01-12,15000,15350,14600,15050,710302
2021-01-13,15150,15150,14800,14950,506346
2021-01-14,14950,16000,14800,15550,1376239
2021-01-15,15800,16300,15750,15950,1313724
2021-01-18,15950,16000,15200,15300,714826
2021-01-19,15400,15750,15400,15650,399648
2021-01-20,15600,15700,15200,15700,397209
2021-01-21,15650,15650,15300,15500,927926
2021-01-22,15400,16150,15200,16100,703206
2021-01-25,16100,17000,15900,16650,900795
2021-01-26,16650,16700,16150,16250,417573
2021-01-27,16500,16550,15700,15950,450684
2021-01-28,15450,15850,15350,15700,355674
2021-01-29,16000,16100,15300,15550,585859
2021-02-01,16100,16700,15350,16700,1605039
2021-02-02,16700,16950,16100,16350,1028900
2021-02-03,16450,16450,16000,16300,535973
2021-02-04,16250,16250,15800,16000,315049
2021-02-05,16000,16250,15750,16200,260391
2021-02-08,16350,16500,16050,16500,442136
2021-02-09,16600,16850,16350,16700,518571
2021-02-10,16600,16750,16300,16700,502902
2021-02-15,16700,17050,16450,17000,581441
2021-02-16,17400,18300,17100,18100,1145227
2021-02-17,18200,18600,17800,18350,1000586
2021-02-18,18400,19200,18200,18800,1186480
2021-02-19,18900,18950,17800,18150,852952
2021-02-22,18150,18350,17250,17600,785121
2021-02-23,17650,19350,17450,19200,1763831
2021-02-24,19150,21650,18900,20100,3655799
2021-02-25,20850,21300,20000,21300,1770899
2021-02-26,20600,21850,20450,21750,1983287
2021-03-02,21900,22150,20500,20900,1818192
2021-03-03,20500,21050,20200,21050,881329
2021-03-04,20750,21100,20200,20550,790013
2021-03-05,20000,20850,19600,20700,951828
2021-03-08,20700,20700,19200,19300,1104766
2021-03-09,19600,20200,19100,19250,1033580
2021-03-10,19500,19650,18900,19000,647299
2021-03-11,19300,19350,18500,19150,714358
2021-03-12,19400,19600,18950,19300,552455
2021-03-15,19650,20700,19550,20250,1037149
2021-03-16,20300,20550,20000,20450,505901
2021-03-17,20200,20500,20000,20200,410500
2021-03-18,20400,20800,20050,20150,646611
2021-03-19,19850,20400,19600,20400,428086
2021-03-22,19950,20050,18800,19500,1214856
2021-03-23,19600,19600,18850,19350,662776
2021-03-24,18900,20750,18500,20200,1934067
2021-03-25,20000,20000,19250,19650,770768
2021-03-26,19700,19750,18900,18950,888640
2021-03-29,18950,19000,18100,18200,940987
2021-03-30,18300,18650,18200,18650,442653
2021-03-31,18600,18850,18450,18700,412795
2021-04-01,18600,19550,18550,19500,680826
2021-04-02,19450,19650,19150,19300,405049
2021-04-05,19300,19350,18750,19050,371265
2021-04-06,19150,20100,19000,19950,1044732
2021-04-07,19900,20150,19650,19950,447787
2021-04-08,19950,20450,19300,19500,1153061
2021-04-09,19500,19500,19000,19300,483093
2021-04-12,19050,19300,18750,18900,413251
2021-04-13,18750,19150,18700,18900,505371
2021-04-14,18950,19050,18600,18950,476511
2021-04-15,19100,19500,18850,19350,886530
2021-04-16,19250,19300,18900,18950,430964
2021-04-19,18700,18750,18300,18500,657272
2021-04-20,18500,18750,18300,18550,381232
2021-04-21,18400,18400,18050,18100,480718
2021-04-22,18200,18300,17700,17800,579626
2021-04-23,17650,17750,17450,17750,288601
2021-04-26,17900,18450,17900,18200,564429
2021-04-27,18400,18450,17850,18350,483783
2021-04-28,18200,18250,17800,17800,379293
2021-04-29,17850,18150,17650,18000,392199
2021-04-30,17900,18800,17850,18450,910805
2021-05-03,18350,18450,17500,17500,713554
2021-05-04,17300,17500,16700,17250,624142
