date,open,high,low,close,volume
2021-01-04,109000,111000,107500,110000,444271
2021-01-05,110500,118500,109000,117500,1108466
2021-01-06,121000,124500,117500,118000,861219
2021-01-07,120500,122000,118000,118500,470056
2021-01-08,118500,120000,117000,118500,453240
2021-01-11,118500,119500,113000,115000,754442
2021-01-12,114000,117000,112500,116000,527749
2021-01-13,117000,118000,115000,116000,370710
2021-01-14,115500,122500,115000,118500,674916
2021-01-15,120000,120500,114000,114000,434422
2021-01-18,112000,113500,108500,110500,502297
2021-01-19,111000,112000,109000,110500,425262
2021-01-20,111500,111500,106000,107500,736471
2021-01-21,108500,111000,107500,108000,544778
2021-01-22,108000,108500,105000,105000,441396
2021-01-25,105500,110500,105500,109000,435334
2021-01-26,109500,110000,106000,106000,544091
2021-01-27,107000,107500,102000,102500,642157
2021-01-28,100000,101000,97700,98300,674753
2021-01-29,98300,99000,93600,94000,780382
2021-02-01,93500,100500,93200,99900,449837
2021-02-02,100000,100500,96600,99000,378047
2021-02-03,100000,101500,98500,98900,313429
2021-02-04,100000,100500,96600,97400,325171
2021-02-05,97900,98900,96700,98200,224555
2021-02-08,98500,102500,98300,100500,385954
2021-02-09,101500,102000,100000,101000,292484
2021-02-10,102000,102000,100000,101000,263425
2021-02-15,104000,107000,102500,107000,494738
2021-02-16,107500,107500,105000,106000,214333
2021-02-17,106000,106000,103500,104500,246658
2021-02-18,104000,107500,104000,104000,244795
2021-02-19,104500,105500,100500,105000,298487
2021-02-22,105500,106500,103500,104000,272316
2021-02-23,106000,113000,105500,112000,1164157
2021-02-24,111500,113000,108000,109000,544145
2021-02-25,111500,114500,109500,114000,502114
2021-02-26,111000,113000,109000,112000,505274
2021-03-02,115000,116000,109000,110500,447770
2021-03-03,109500,111500,108000,111500,260600
2021-03-04,109500,111500,107500,108000,381896
2021-03-05,107000,108500,105000,107000,416624
2021-03-08,109000,114500,107500,111000,725029
2021-03-09,113000,116000,111000,115500,814808
2021-03-10,115000,116000,113000,115500,376188
2021-03-11,116500,119000,114000,115000,602567
2021-03-12,116000,118000,114000,117500,457677
2021-03-15,118000,123000,116500,122000,840969
2021-03-16,123500,124000,120000,121500,360188
