date,open,high,low,close,volume
2021-01-04,35250,35250,34400,35100,233955
2021-01-05,34600,35700,34600,35500,258766
2021-01-06,35500,36550,35250,35650,422639
2021-01-07,35850,36700,35650,36200,464024
2021-01-08,36800,37200,36350,37150,549227
2021-01-11,37000,37050,35250,35400,583291
2021-01-12,35400,37100,35100,36700,524677
2021-01-13,37050,37050,36100,36500,264742
2021-01-14,36500,37950,36150,37550,593572
2021-01-15,37650,37750,36400,36400,407888
2021-01-18,35750,35750,34550,34800,401138
2021-01-19,34900,35850,34700,35500,254576
2021-01-20,35850,35900,34900,35400,218110
2021-01-21,35500,36200,35100,35900,295845
2021-01-22,36000,37300,35650,36400,434281
2021-01-25,36450,36800,36150,36350,297575
2021-01-26,36400,36400,35100,35150,368892
2021-01-27,35250,35500,34650,34850,214267
2021-01-28,34200,34600,33700,33900,263853
2021-01-29,33950,34200,32300,32450,364026
2021-02-01,32000,32950,32000,32950,173607
2021-02-02,33100,33950,32800,33450,167242
2021-02-03,33800,34100,33400,33800,129281
2021-02-04,33950,33950,33050,33150,126943
2021-02-05,33250,33650,33100,33450,98092
2021-02-08,33500,34850,33350,34650,209982
2021-02-09,34900,35400,34700,34850,236234
2021-02-10,34850,35350,34150,35050,150282
2021-02-15,35050,35450,34950,35200,119552
2021-02-16,35150,35350,34800,35250,106061
2021-02-17,34950,35000,34350,34550,171701
2021-02-18,34350,34950,34100,34100,161777
2021-02-19,34600,34750,33150,33850,205654
2021-02-22,33900,34250,33550,33600,110421
2021-02-23,33850,34300,33400,34000,161949
2021-02-24,34250,34400,33250,33350,162519
2021-02-25,33750,34050,33350,33900,111430
2021-02-26,33500,33600,32900,33600,206763
2021-03-02,33750,33900,33300,33400,110469
2021-03-03,33250,33950,33250,33900,121279
2021-03-04,33550,33650,33050,33300,220781
2021-03-05,33000,33050,32550,32800,134245
2021-03-08,33050,33100,32800,32950,110829
2021-03-09,32950,33600,32800,33400,193714
2021-03-10,33400,33550,33000,33050,105300
2021-03-11,33200,33400,32900,32950,136621
2021-03-12,33300,33400,33000,33100,158610
2021-03-15,33100,33400,32950,32950,162059
2021-03-16,33000,33500,33000,33350,131265
2021-03-17,33350,33450,33050,33200,111616
2021-03-18,33300,33450,33150,33200,130580
2021-03-19,32950,33000,32700,32700,228510
2021-03-22,32900,32900,32550,32750,123308
2021-03-23,33400,33800,33000,33100,384211
2021-03-24,33100,33150,32700,32700,167741
2021-03-25,32700,33150,32600,32900,126860
2021-03-26,33000,33800,33000,33650,226895
2021-03-29,33800,33850,33450,33700,134483
2021-03-30,33750,33950,33550,33650,95639
2021-03-31,33650,34000,33500,34000,160303
2021-04-01,34050,34150,33600,33600,121133
2021-04-02,33650,33800,33500,33700,101323
2021-04-05,33650,33700,33450,33700,110115
2021-04-06,33700,33850,33350,33400,106387
2021-04-07,33400,33650,33300,33500,71489
2021-04-08,33650,33650,33450,33500,113388
2021-04-09,33500,33600,33350,33450,104805
2021-04-12,33500,33500,33200,33350,142406
2021-04-13,33300,33650,33300,33350,125693
2021-04-14,33400,33450,33250,33350,139259
2021-04-15,33400,34800,33350,34550,473277
2021-04-16,34700,34900,34400,34500,235759
2021-04-19,34550,35200,34200,35000,275381
2021-04-20,35000,35600,35000,35500,231947
2021-04-21,35600,35600,34700,34850,242734
2021-04-22,35000,35000,34350,34500,195731
2021-04-23,34600,34950,34150,34650,128777
2021-04-26,35050,35600,34650,35600,247962
